Time,Time,Miles,Cost,Date,,Total,Beginning Route,End Route
1354,1:54 PM,3.77 mi,$3.86 ,Fri May 25,,,,
1432,2:32 PM,8.31 mi,$13.06 ,Fri May 25,,,,
1551,3:51 PM,0.00 mi,$3.75 ,Fri May 25,,,,
0648,6:48 AM,16.13 mi,$20.53 ,Thu May 31,,,,
0725,7:25 AM,12.39 mi,$10.44 ,Thu May 31,,,,
0745,7:45 AM,1.13 mi,$2.85 ,Thu May 31,,,,
0818,8:18 AM,7.83 mi,$6.81 ,Thu May 31,,,,
0836,8:36 AM,7.47 mi,$8.78 ,Thu May 31,,,,
0920,9:20 AM,11.56 mi,$11.88 ,Thu May 31,,,,
0940,9:40 AM,6.64 mi,$8.04 ,Thu May 31,,,,
1057,10:57 AM,6.88 mi,$6.07 ,Thu May 31,,,,
1117,11:17 AM,16.68 mi,$13.53 ,Thu May 31,,,,
1156,11:56 AM,20.99 mi,$25.23 ,Thu May 31,,,,
1233,12:33 PM,4.45 mi,$5.06 ,Thu May 31,,,,
1300,1:00 PM,12.31 mi,$12.54 ,Thu May 31,,,,
1357,1:57 PM,3.33 mi,$3.70 ,Thu May 31,,,,
1415,2:15 PM,2.83 mi,$3.31 ,Thu May 31,,,,
1435,2:35 PM,3.01 mi,$3.29 ,Thu May 31,,,,
1518,3:18 PM,9.03 mi,$15.02 ,Thu May 31,,,,
1610,4:10 PM,5.87 mi,$5.88 ,Thu May 31,,,,
1631,4:31 PM,9.81 mi,$14.52 ,Thu May 31,,,,
1734,5:34 PM,13.53 mi,$12.58 ,Thu May 31,,,,
0650,6:50 AM,2.35 mi,$3.07 ,Fri Jun 1,,,,
0727,7:27 AM,4.19 mi,$4.40 ,Fri Jun 1,,,,
0747,7:47 AM,10.54 mi,$11.12 ,Fri Jun 1,,,,
0831,8:31 AM,15.64 mi,$15.28 ,Fri Jun 1,,,,
0908,9:08 AM,6.54 mi,$6.25 ,Fri Jun 1,,,,
0947,9:47 AM,5.62 mi,$5.43 ,Fri Jun 1,,,,
